,Title,Start,End,Certificate,Runtime,Genre,Rating,Votes,Gross,Metascore,Director,Stars
396,Will & Grace,1998,2020,,22 min,"Comedy,Romance",7.3,"56,853",,,,"Stars:Eric McCormack, Debra Messing, Megan Mullally, Sean Hayes"
397,Gnomeo & Juliet,2011,2011,,84 min,"Animation,Adventure,Comedy",5.9,"56,807",$99.97M,53,Director:Kelly Asbury,"Stars:James McAvoy, Emily Blunt, Maggie Smith, Ashley Jensen"
398,LOL,2012,2012,A,97 min,"Comedy,Drama,Romance",4.3,"56,732",$0.05M,,Director:Lisa Azuelos,"Stars:Miley Cyrus, Douglas Booth, Ashley Greene, Demi Moore"
399,A Goofy Movie,1995,1995,U,78 min,"Animation,Adventure,Comedy",6.9,"56,673",$35.35M,53,Director:Kevin Lima,"Stars:Bill Farmer, Jason Marsden, Jim Cummings, Kellie Martin"
400,Wristcutters: A Love Story,2006,2006,R,88 min,"Comedy,Drama,Fantasy",7.2,"56,465",$0.32M,62,Director:Goran Dukic,"Stars:Patrick Fugit, Shea Whigham, Tom Waits, Will Arnett"
401,Chennai Express,2013,2013,UA,141 min,"Action,Comedy,Drama",6.0,"56,173",$5.31M,45,Director:Rohit Shetty,"Stars:Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer"
402,The Three Musketeers,1993,1993,U,105 min,"Action,Adventure,Comedy",6.4,"56,121",$53.90M,43,Director:Stephen Herek,"Stars:Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt"
403,Set It Up,2018,2018,18,105 min,"Comedy,Romance",6.5,"56,097",,62,Director:Claire Scanlon,"Stars:Zoey Deutch, Glen Powell, Lucy Liu, Taye Diggs"
404,Emma.,2020,2020,UA 13+,124 min,"Comedy,Drama,Romance",6.7,"56,034",,71,Director:Autumn de Wilde,"Stars:Anya Taylor-Joy, Johnny Flynn, Mia Goth, Josh O'Connor"
405,Chhichhore,2019,2019,UA,143 min,"Comedy,Drama,Romance",8.3,"55,857",$0.90M,,Director:Nitesh Tiwari,"Stars:Sushant Singh Rajput, Shraddha Kapoor, Varun Sharma, Prateik Babbar"
